,,,,,,,,,,,,
,Genotype ,Replication ,AVB,BW,NOB,BD,BL,TSS,Acidity,Compactness ,BunLength,Bunwidth 
,Aledo,R1,113.68,397.60,61.50,21.00,23.00,19.80,0.82,5.43,16.80,12.40
,,R2,113.64,400.80,56.00,20.00,24.00,18.00,0.68,5.61,15.70,11.80
,,R3,145.70,416.16,56.33,23.00,24.00,16.47,0.50,5.64,14.83,13.77
,Arka Hans,R1,390.70,118.50,70.00,14.50,15.50,21.70,0.37,4.79,14.70,2.80
,,R2,398.60,122.50,61.80,14.50,17.50,21.35,0.45,4.10,12.80,3.50
,,R3,404.83,125.50,56.00,16.30,17.60,20.70,0.49,4.19,13.60,4.80
,Banquie Abyad,R1,425.60,200.15,48.40,21.00,23.00,17.60,0.61,3.59,19.00,5.90
,,R2,432.20,255.35,54.59,20.00,23.00,16.15,0.72,3.89,23.40,6.80
,,R3,460.28,234.50,61.00,22.00,22.00,17.20,0.50,3.01,22.10,7.40
,Benzuiho,R1,336.00,288.90,70.00,21.00,25.00,19.00,0.67,3.34,12.50,9.40
,,R2,342.99,301.40,71.00,17.00,23.00,18.00,0.57,3.78,13.80,9.97
,,R3,365.50,317.11,74.00,17.33,21.00,20.97,0.47,3.67,13.00,11.60
,Black Muscat,R1,85.60,189.87,50.50,13.50,16.50,18.00,0.74,5.44,7.90,5.80
,,R2,96.32,192.30,42.00,16.00,20.00,19.80,0.81,5.12,9.10,6.77
,,R3,98.67,200.60,47.33,17.67,20.00,17.47,0.65,5.42,10.00,7.30
,Cardinal,R1,532.40,228.70,98.70,19.00,21.50,17.40,0.77,2.62,17.40,7.80
,,R2,343.00,230.70,116.00,17.80,20.90,15.00,0.64,2.87,14.70,8.63
,,R3,359.02,234.90,111.00,18.30,22.00,15.97,0.42,2.01,15.53,9.50
,Coarna alba X TS,R1,177.88,74.15,89.70,16.00,16.50,20.80,0.42,6.04,10.10,3.80
,,R2,191.93,85.60,84.46,14.00,15.50,21.15,0.58,6.14,12.70,4.20
,,R3,204.50,93.22,80.70,15.70,18.30,22.40,0.74,6.78,10.70,5.60
,Convent large black,R1,214.60,158.05,36.70,18.00,18..9,21.60,0.48,6.55,10.30,7.90
,,R2,235.60,163.24,40.28,16.00,17.50,20.80,0.51,6.12,12.80,8.50
,,R3,201.80,164.00,30.00,19.00,19.50,22.00,0.57,6.13,12.50,9.80
,Crimson Sless (T.C.),R1,498.70,103.20,66.50,14.50,18.50,22.00,0.61,2.93,16.80,8.60
,,R2,512.30,118.00,69.80,14.00,19.00,23.00,0.57,2.24,15.60,9.00
,,R3,529.50,128.07,71.50,14.70,19.40,21.60,0.50,2.51,14.80,10.70
,2A-Clone,R1,161.20,56.28,147.60,13.00,15.00,18.70,0.92,12.48,11.60,7.30
,,R2,173.73,65.00,150.00,11.00,14.00,21.70,0.89,12.78,13.80,8.30
,,R3,185.17,75.00,150.00,13.00,15.00,18.87,0.88,12.45,12.40,9.30
,E-21,R1,83.55,87.30,44.00,13.00,15.00,18.90,0.53,3.14,8.60,3.70
,,R2,85.41,95.26,44.72,13.00,15.00,16.10,0.67,3.19,9.70,4.80
,,R3,91.38,98.57,46.33,17.30,17.80,17.83,0.78,3.78,8.20,5.20
,Arki-2,R1,103.47,80.70,49.50,14.50,20.00,16.70,0.72,2.81,8.30,3.90
,,R2,131.45,91.52,55.12,14.50,20.00,17.45,0.67,2.12,7.80,5.10
,,R3,145.70,94.35,59.00,16.00,20.10,18.50,0.72,2.78,6.50,4.50
,Goethe,R1,192.70,108.00,49.00,14.50,16.00,19.60,0.49,4.04,8.70,1.90
,,R2,196.90,117.13,48.83,14.50,16.00,20.30,0.61,4.32,9.90,2.30
,,R3,214.83,121.30,53.70,17.70,19.80,19.10,0.50,4.87,9.20,3.40
,Gulabi,R1,201.90,118.05,102.30,14.50,15.50,17.95,0.53,3.15,15.40,6.30
,,R2,227.57,126.87,106.00,16.00,17.00,16.00,0.42,3.46,13.90,7.53
,,R3,249.33,131.40,102.67,16.00,18.50,18.13,0.54,3.67,16.10,8.50
,Gold,R1,352.10,140.80,80.70,16.00,20.90,19.50,0.56,2.67,21.20,12.10
,,R2,361.33,149.00,88.00,16.00,19.00,18.00,0.73,2.31,18.70,10.90
,,R3,373.36,158.10,87.67,16.00,19.07,19.07,0.66,2.98,18.97,12.97
,Julesky Muscat,R1,258.00,161.20,76.80,19.50,20.80,15.80,0.70,3.12,17.30,7.80
,,R2,279.50,170.35,72.00,18.00,19.00,17.00,0.68,3.98,15.80,8.77
,,R3,295.01,178.00,71.00,16.33,19.00,17.00,0.59,3.68,16.10,9.00
,Italian Eliquena,R1,265.70,169.75,80.60,16.00,19.50,21.00,0.74,4.36,14.80,7.40
,,R2,275.60,173.20,86.00,16.00,21.00,22.00,0.59,4.56,16.80,8.70
,,R3,289.33,178.90,85.67,18.00,21.00,20.70,0.51,4.78,15.93,6.80
,Kali Sahebi,R1,328.00,258.70,65.70,17.00,20.50,20.00,0.59,3.38,11.90,7.40
,,R2,348.78,265.00,61.00,14.00,19.00,22.00,0.68,3.45,14.60,7.60
,,R3,358.30,272.15,62.67,16.00,19.00,21.00,0.75,3.79,11.43,8.10
,Khalili,R1,230.80,201.30,60.50,14.00,18.00,17.90,0.81,2.86,7.80,2.80
,,R2,256.52,208.32,59.85,18.00,18.50,16.40,0.69,2.98,9.10,3.50
,,R3,258.40,210.00,62.70,14.50,17.20,18.40,0.77,2.23,8.30,4.60
,Kishmish belly,R1,342.10,71.55,95.40,12.50,15.50,24.90,0.50,4.58,16.50,9.00
,,R2,301.60,77.00,91.00,13.00,12.00,25.00,0.58,4.23,15.60,9.70
,,R3,312.60,76.00,90.50,14.30,15.80,23.80,0.50,4.89,14.80,10.50
,Kishmish Chernyi,R1,256.70,63.50,94.50,13.50,15.50,17.70,0.61,9.19,13.50,8.80
,,R2,240.80,58.00,96.70,13.00,14.00,19.80,0.59,9.46,15.30,9.80
,,R3,241.50,60.80,98.53,15.00,17.00,18.67,0.51,9.80,14.70,10.50
,Kishmish Luchistyi,R1,198.70,88.70,60.90,14.00,18.50,17.20,0.44,5.79,16.50,8.70
,,R2,206.10,93.60,56.70,13.00,19.80,18.90,0.51,5.42,18.30,9.00
,,R3,237.50,100.00,52.50,14.00,17.00,19.40,0.60,5.67,15.60,9.80
,Kishmish Maldoski,R1,217.79,150.80,90.00,17.00,20.50,19.30,0.75,6.11,15.40,11.20
,,R2,225.23,159.00,84.00,17.00,20.00,20.00,0.64,6.89,17.80,12.30
,,R3,230.80,143.50,82.83,16.00,20.20,18.20,0.50,6.31,15.20,10.80
,Kishmish Red,R1,278.90,110.40,109.50,13.00,15.00,24.90,0.57,3.76,13.90,8.70
,,R2,300.80,108.70,152.00,12.00,18.00,25.00,0.73,3.43,15.70,10.50
,,R3,380.83,112.70,132.40,13.00,17.50,23.30,0.50,3.32,14.80,9.00
,Malaga,R1,85.33,158.70,40.20,14.50,17.50,20.50,0.67,4.00,8.40,3.10
,,R2,93.91,169.00,45.00,11.00,16.00,21.00,0.78,4.67,7.60,3.90
,,R3,102.20,179.87,49.00,17.33,16.80,18.97,0.70,4.35,8.97,4.30
,Manik Chaman,R1,121.28,53.60,76.50,11.50,14.00,20.80,0.66,7.22,18.20,10.60
,,R2,136.70,57.00,79.00,10.00,14.00,22.80,0.74,7.65,16.80,11.73
,,R3,158.00,58.99,78.33,12.67,18.00,21.80,0.66,7.46,17.67,12.40
, Motia,R1,289.00,110.70,73.00,15.50,15.50,20.60,0.57,4.75,12.40,5.10
,,R2,295.10,113.80,72.45,14.50,16.50,22.30,0.64,4.41,14.90,6.30
,,R3,226.83,119.87,78.90,14.60,17.00,21.50,0.50,4.91,13.40,5.30
,Muscat of Alexandria,R1,257.37,197.80,43.70,16.50,18.20,17.10,0.90,3.86,17.80,8.80
,,R2,254.80,208.00,47.00,15.00,17.00,19.00,0.76,3.62,19.00,9.10
,,R3,282.67,216.11,49.67,16.00,17.20,16.53,0.65,3.48,16.00,9.57
,Omania Blanc,R1,132.10,106.50,74.50,13.50,14.50,24.10,0.77,4.77,9.90,6.80
,,R2,158.90,110.50,68.90,16.00,18.00,22.70,0.61,4.93,12.50,8.10
,,R3,172.83,112.75,78.90,16.00,16.90,22.00,0.52,4.21,10.90,7.20
,Pearl of Csaba,R1,278.60,97.80,75.60,14.50,17.50,24.50,0.74,5.40,17.20,5.90
,,R2,286.50,101.60,78.52,14.50,17.50,24.95,0.68,5.12,16.60,6.80
,,R3,296.83,106.70,79.00,15.70,19.00,23.00,0.40,5.66,18.70,7.40
,Pierce,R1,283.30,141.30,51.50,18.50,19.50,21.40,0.54,5.01,12.50,2.50
,,R2,297.30,150.60,45.76,13.50,14.50,22.25,0.61,5.78,11.80,3.70
,,R3,303.50,154.20,48.70,16.60,19.10,20.20,0.48,5.46,10.10,4.80
,Queen of Vineyard,R1,318.70,94.50,41.30,15.50,17.50,17.25,0.45,6.29,13.50,4.80
,,R2,322.40,109.20,48.90,14.00,15.50,16.00,0.55,6.23,12.60,5.40
,,R3,342.20,108.67,45.00,14.20,15.30,18.70,0.62,6.67,11.70,6.70
,Ribier,R1,307.28,60.10,70.30,18.50,20.50,16.10,0.84,2.53,14.50,7.80
,,R2,331.40,67.50,73.00,17.00,19.00,17.80,0.71,2.78,16.80,8.00
,,R3,352.67,73.15,74.00,19.70,19.00,15.97,0.62,2.63,15.90,9.40
,Sekerie,R1,100.00,219.70,85.60,16.00,21.50,19.90,0.81,3.35,22.40,9.30
,,R2,105.30,224.50,89.00,19.00,22.00,21.00,0.67,3.12,19.40,10.00
,,R3,109.60,231.50,81.83,19.20,23.00,20.60,0.52,3.56,20.10,11.20
,TAS (White Seedless),R1,234.50,201.30,86.50,18.50,24.50,19.40,0.73,7.68,18.50,9.70
,,R2,245.60,217.50,87.00,16.00,20.00,18.40,0.80,7.21,19.40,10.63
,,R3,261.53,215.99,88.33,16.67,22.60,17.97,0.66,7.91,17.17,11.20
,Tigvosa,R1,387.60,63.20,78.00,12.50,14.00,18.00,0.84,7.17,10.30,7.90
