,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Genotypes,Replication,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,NOB,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,Bunwidth,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
,Aledo,R1,0.933,11,37,110,113.68,167.50,61.50,21.00,23.00,19.80,0.82,5.43,56.70,16.80,12.40,24.50,138.00,5.83,3.0
,,R2,0.891,10,40,105,113.64,188.60,56.00,20.00,24.00,18.00,0.68,5.61,45.60,15.70,11.80,20.40,140.00,4.72,2.0
,,R3,0.914,11,42,112,145.70,174.50,56.33,23.00,24.00,16.47,0.50,5.64,51.30,14.83,13.77,21.30,147.00,5.62,2.0
,Amber Sweet,R1,0.536,10,36,100,72.79,121.25,27.40,16.00,17.50,16.10,0.57,3.73,34.50,9.40,4.90,9.01,126.00,3.78,1.0
,,R2,0.498,8,38,96,85.39,143.31,23.32,15.00,17.50,19.90,0.62,3.76,41.30,8.90,5.90,13.40,120.00,4.12,2.0
,,R3,0.552,12,35,102,98.70,147.53,30.00,14.50,17.80,18.03,0.47,3.97,38.90,9.50,6.30,10.45,118.00,4.19,1.0
,Arka Hans,R1,0.473,9,33,110,390.70,118.50,70.00,14.50,15.50,21.70,0.37,4.79,51.60,14.70,2.80,22.00,143.00,5.45,2.0
,,R2,0.456,10,36,114,398.60,122.50,61.80,14.50,17.50,21.35,0.45,4.10,47.80,12.80,3.50,18.70,148.00,4.98,2.0
,,R3,0.478,9,31,118,404.83,125.50,56.00,16.30,17.60,20.70,0.49,4.19,45.60,13.60,4.80,21.60,140.00,5.23,3.0
,Armas,R1,0.238,14,38,112,166.40,98.70,59.80,14.50,16.00,17.60,0.77,5.45,48.70,12.60,5.70,18.70,150.00,4.51,1.0
,,R2,0.215,10,35,117,175.60,103.52,61.80,14.50,16.00,16.80,0.68,5.67,51.40,13.40,6.40,15.60,145.00,3.89,2.0
,,R3,0.198,11,32,115,189.90,110.17,65.00,12.30,13.50,17.53,0.55,5.23,41.70,11.80,7.10,17.40,151.00,4.21,2.0
,Banglore Purple,R1,0.463,9,39,106,375.60,175.60,80.00,18.00,21.50,17.95,0.70,5.16,71.30,12.80,1.30,26.00,140.00,6.81,3.0
,,R2,0.425,9,40,110,385.00,178.60,93.09,17.50,18.00,19.00,0.61,5.78,65.70,15.30,1.90,21.30,136.00,6.03,3.0
,,R3,0.473,8,35,112,391.30,187.50,85.60,19.90,19.20,18.00,0.52,5.13,62.30,13.40,2.80,24.70,142.00,5.89,2.0
, E-8-25,R1,0.539,13,39,118,45.26,62.60,41.50,13.00,14.00,19.80,0.41,2.02,48.30,15.80,8.70,21.00,148.00,3.22,1.0
,,R2,0.514,13,34,112,58.22,59.85,33.60,10.80,10.50,18.60,0.58,2.98,39.00,16.00,8.80,18.00,140.00,3.67,2.0
,,R3,0.498,11,31,120,67.80,64.83,34.00,12.30,12.40,17.63,0.74,2.46,42.60,14.70,7.90,22.00,142.00,3.01,2.0
,Goethe,R1,0.979,10,32,106,192.70,108.00,49.00,14.50,16.00,19.60,0.49,4.04,61.00,8.70,1.90,10.00,139.00,6.21,3.0
,,R2,0.945,9,30,112,196.90,117.13,48.83,14.50,16.00,20.30,0.61,4.32,56.80,9.90,2.30,14.00,140.00,6.57,2.0
,,R3,0.934,11,28,110,214.83,121.30,53.70,17.70,19.80,19.10,0.50,4.87,45.60,9.20,3.40,16.00,135.00,7.02,2.0
,Gulabi,R1,0.315,9,36,98,201.90,118.05,"102,3",14.50,15.50,14.95,0.53,3.15,51.70,15.40,6.30,15.00,142.00,4.78,2.0
